CCBASIC,CCUGPROF,HIGHDEG,CCSIZSET,CONTROL,CURROPER,INSTNM,INSTURL
15,15,4,16,1,1,University of California-Irvine,www.uci.edu/
15,15,4,17,1,1,University of California-Los Angeles,www.ucla.edu/
15,15,4,16,1,1,University of California-Riverside,WWW.UCR.EDU
15,15,4,16,1,1,University of California-San Diego,www.ucsd.edu
25,0,4,18,1,1,University of California-San Francisco,www.ucsf.edu
15,15,4,16,1,1,University of California-Santa Barbara,www.ucsb.edu
15,15,4,17,1,1,University of California-Santa Cruz,www.ucsc.edu/
26,5,4,6,3,1,Sofia University,www.sofia.edu
-2,-2,1,-2,3,1,California Beauty School,www.calbeautycollege.edu
24,5,3,6,2,1,California Christian College,www.calchristiancollege.edu
-2,-2,0,-2,3,1,California Coast University,https://www.calcoast.edu
-2,-2,1,-2,3,1,California Hair Design Academy,https://chdaschools.com
30,14,4,10,2,1,California Institute of the Arts,www.calarts.edu
22,13,4,11,1,1,California State University Maritime Academy,https://www.csum.edu
31,0,4,18,2,1,California Western School of Law,https://www.cwsl.edu
2,1,2,3,1,1,Canada College,canadacollege.edu
2,1,2,5,1,1,College of the Canyons,www.canyons.edu
-2,-2,1,-2,3,1,Career Academy of Beauty,CAofB.com
10,4,2,1,2,1,Casa Loma College-Van Nuys,www.casalomacollege.edu
-2,-2,1,-2,2,1,CET-San Diego,https://www.cetweb.edu
-2,-2,1,-2,2,1,CET-San Jose,https://cetweb.edu
-2,-2,1,-2,2,1,CET-El Centro,https://cetweb.edu
-2,-2,1,-2,2,1,CET-Colton,https://cetweb.edu
-2,-2,1,-2,2,1,CET-Watsonville,https://www.cetweb.edu
-2,-2,1,-2,2,1,CET-Salinas,https://cetweb.edu
4,2,2,5,1,1,Cerritos College,www.cerritos.edu
2,1,2,3,1,1,Cerro Coso Community College,cerrocoso.edu
1,1,2,4,1,1,Chabot College,www.chabotcollege.edu
1,1,2,5,1,1,Chaffey College,www.chaffey.edu
16,14,4,13,2,1,Chapman University,https://www.chapman.edu
26,13,4,6,2,1,Charles R Drew University of Medicine and Science,www.cdrewu.edu
18,13,4,14,2,1,Concordia University-Irvine,www.cui.edu
22,7,4,7,2,1,San Diego Christian College,sdcc.edu
24,0,4,18,2,1,Church Divinity School of the Pacific,www.cdsp.edu
1,2,2,4,1,1,Citrus College,www.citruscollege.edu
-2,-2,1,-2,3,1,Citrus Heights Beauty College,chbeautycollege.com
5,1,2,5,1,1,City College of San Francisco,www.ccsf.edu
16,0,4,18,2,1,Claremont Graduate University,www.cgu.edu
21,14,4,11,2,1,Claremont McKenna College,www.cmc.edu
-2,-2,1,-2,3,1,Milan Institute-Visalia,www.milaninstitute.edu
-2,-2,1,-2,1,1,Clovis Adult Education,clovisadult.cusd.com
2,1,2,3,1,1,Coastline Community College,www.coastline.edu
22,9,3,7,3,1,Cogswell College,www.cogswell.edu
-2,-2,1,-2,3,1,Coba Academy,www.coba.edu
25,0,4,18,2,1,Western University of Health Sciences,www.westernu.edu
1,1,2,2,1,1,Columbia College,www.gocolumbia.edu/
30,15,3,6,2,1,Columbia College Hollywood,https://www.columbiacollege.edu
5,1,2,3,1,1,Compton College,www.compton.edu
5,1,2,3,1,1,Contra Costa College,www.contracosta.edu
1,1,2,4,1,1,Cosumnes River College,www.crc.losrios.edu/
4,1,2,3,1,1,Crafton Hills College,www.craftonhills.edu
2,1,2,4,1,1,Cuesta College,https://www.cuesta.edu
2,1,2,3,1,1,Cuyamaca College,www.cuyamaca.edu
14,5,2,12,1,1,Cypress College,www.cypresscollege.edu
7,2,2,5,1,1,De Anza College,www.deanza.edu/
-2,-2,1,-2,3,1,International School of Beauty Inc,https://btyschool.com/
30,11,4,6,2,1,Dell'Arte International School of Physical Theatre,www.dellarte.com/school
1,1,2,4,1,1,College of the Desert,collegeofthedesert.edu
30,9,3,6,3,1,Design Institute of San Diego,www.disd.edu
1,1,2,5,1,1,Diablo Valley College,www.dvc.edu
19,13,4,10,2,1,Dominican University of California,https://www.dominican.edu
24,0,4,18,2,1,Dominican School of Philosophy & Theology,https://www.dspt.edu
5,1,2,5,1,1,East Los Angeles College,www.elac.edu/
1,1,2,5,1,1,El Camino Community College District,www.elcamino.edu
-2,-2,1,-2,3,1,Elegance International,ei.edu/
26,0,4,18,3,1,Emperor's College of Traditional Oriental Medicine,www.emperors.edu
23,11,4,6,3,1,Empire College,www.empcol.edu
5,1,2,4,1,1,Evergreen Valley College,www.evc.edu
30,15,3,9,3,1,FIDM-Fashion Institute of Design & Merchandising-Los Angeles,www.fidm.edu
30,15,3,6,3,1,FIDM-Fashion Institute of Design & Merchandising-San Francisco,WWW.FIDM.EDU
-2,-2,3,-2,3,1,FIDM-Fashion Institute of Design & Merchandising-Orange County,www.FIDM.edu
14,5,3,9,1,1,Feather River Community College District,www.frc.edu
-2,-2,1,-2,3,1,Federico Beauty Institute,federico.edu
17,0,4,18,2,1,Fielding Graduate University,www.fielding.edu
26,0,4,18,3,1,Five Branches University,www.fivebranches.edu
-2,-2,1,-2,3,1,Redondo Beach Beauty College,RedondoBeachBeautyCollege.com
